AUTHOR,BOOK:NAME
Making India Awesome,Chetan Bhagat
One Indian Girl,Chetan Bhagat
Half Girlfriend,Chetan Bhagat
Revolution 2020,Chetan Bhagat
Naked Triangle,Balwant Gargi
A Million Mutinies Now,V.S. Naipaul
A Bend in the River,V.S. Naipaul
A Brush with Life,Satish Gujral
A Passage to England,Nirad C. Chaudhuri
A House for Mr. Biswas,V.S. Naipaul
A Prisoner’s Scrapbook,L.K. Advani
A River Sutra,Gita Mehta
A Call to Honour,Jaswant Singh
A Sense of Time,H.S. Vatsyayan
A Strange and Sublime Address,Amit Chaudhuri
A Bunch of Old Letter,Jawaharlal Nehru
A Suitable Boy,Vikram Seth
A Village by the Sea,Anita Desai
Agnibeena,Kazi Nazrul Islam
Afternoon Raag,Amit Chaudhuri
Ain-i-Akbari,Abul Fazl
"Ageless Body, Timeless Mind",Deepak Chopra
Akbarnama,Abul Fazl
Amar Kosh,Amar Singh
An Equal Music,Vikram Seth
All the Prime Minister’s Men,Janardan Thakur
Arthashastra,Kautilya
An Idealist View of Life,Dr. S. Radhakrishnan
Devi Chaudhurani,Bankim Chandra Chatterjee
Anandmath,Bankim Chandra Chatterjee
An Autobiography,Jawaharlal Nehru
Autobiography of an Unknown India,Nirad C. Chaudhuri
Bandicoot Run,Manohar Malgonkar
Beginning of the Beginning,Bhagwan Shri Rajneesh
"Beyond Modernization, Beyond Self",Sisir Kumar Ghosh
Bhagavad Gita,S. Radhakrishnan
Border and Boundaries; women in India’s Partition,Ritu Menon & Kamla Bhasin
Bharat Bharati,Maithili Saran Gupt
Bride and the Sahib and the Other Stories,Khushwant Singh
Broken Wings,Sarojini Naidu
Bubble,Mulk Raj Anand
"The Bread, Beauty and Revolution",Khwaja Ahmad Abbas
By God’s Decree,Kapil Dev
Chemmeen,Thakazhi Sivasankara Pillai
Chitra,Rabindranath Tagore
Circle of Reason,Amitav Ghosh
Circle of Silence,Preeti Singh
Clear Light of Day,Anita Desai
Confessions of a Lover,Mulk Raj Anand
Conquest of Self,Mahatma Gandhi
Coolie,Mulk Raj Anand
Court Dancer,Rabindranath Tagore
Crescent Moon,Rabindranath Tagore
Days of My Years,H.P. Nanda
Death of a City,Amrita Pritam
Devdas,Sarat Chandra Chatterjee
Discovery of India,Jawaharlal Nehru
Divine Life,Swami Sivananda
Durgesh Nandini,Bankim Chandra Chatterjee
Dynamics of Social Change,Chandra Shekhar
Eight Lives,Rajmohan Gandhi
Essays on Gita,Sri Aurobindo Ghosh
Eternal Himalayas,Major H.P.S. Ahluwalia
Faces of Everest,Major H.P.S. Ahluwalia
Foreign Policy of India,I.K. Gujral
Forty-Nine Days,Amrita Pritam
From Rajpath to Lokpath,Vijaya Raje Schindhia
Ganadevata,Tara Sankar Bandyopadhyay
Ghasiram Kotwal,Vijay Tendulkar
Gitanjali,Rabindranath Tagore
Gita Rahasya,Bal Gangadhar Tilak
Glimpses of World History,Jawaharlal Nehru
Godan,Prem Chand
Geet Govinda,Jayadeva
Golden Threshold,Sarojini Naidu
Guide,R.K. Narayan
Harsha Charita,Bana Bhatta
Harvest,Manjula Padmanabhan
Heir Apparent,Dr. Karan Singh
Himalayan Blunder,Brigadier J.P. Dalvi
Hind Swaraj,M.K. Gandhi
Hindu View of Life,Dr. S. Radhakrishnan
Hinduism,Nirad C. Chaudhuri
History of India,Romila Thapar
Hullabaloo in a Guava Orchard,Kiran Desai
Hungary Stones,Rabindranath Tagore
I follow the Mahatma,K.M. Munshi
Idols,Sunil Gavaskar
India Divided,Rajendra Prasad
India Unbound,Gurucharan Das
India of Our Dreams,M.V. Kamath
India wins Freedom,Maulana Abdul Kalam Azad
India’s Priceless Heritage,N.A. Palkhivala
Indian Philosophy,Dr. S. Radhakrishnan
Inscrutable Americans,Anurag Mathur
Ignited Minds,A.P.J. Abdul Kalam
Interpreter of Maladies,Jhumpa Lahiri
It’s Always Possible,Kiran Bedi
Jai Somnath,K.M. Munshi
Junglee Girl,Ginu Kamani
